answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
salsa,False,066448b8259ba79a88a4bd318d58da78b609209f41c36299e0b54d0d42402145,1.5835215830011293,4847,65,0.003879,0.003879,4000,1.0,factconsolidation_sh_262k_no1,0.003879,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,1.5931160830077715,{},single_hop
English,False,62aa1fef88a1f1e3d9f4be73e9bd347dd8dd942acc1234a4398d379d5aadba2d,1.69952020898927,4839,109,0.004038,0.004038,4000,0.0,factconsolidation_sh_262k_no4,0.004038,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,1.8473421249655075,{},single_hop
Ray Bradbury,False,9e7f82446057f8592a72739552bc24c9f760b4ca30572e9d4a48453386216b0b,1.8723349999636412,4919,179,0.0043605,0.0043605,4000,1.0,factconsolidation_sh_262k_no14,0.0043605,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.0964070000336505,{},single_hop
Russia,False,7df7c935309d72b0f1aaa013098a6d21768e9353b1bf44a1abdaf25394034809,1.8689197080093436,4955,190,0.00442875,0.00442875,4000,1.0,factconsolidation_sh_262k_no10,0.00442875,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.1035515000112355,{},single_hop
United Kingdom,False,f3796b0da4a7ade562d29ac6f6f3490d7cad8d06a2cf8d8dbe02ce6fe271445d,2.076940333994571,4897,146,0.00422025,0.00422025,4000,0.0,factconsolidation_sh_262k_no11,0.00422025,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,2.1953698330326006,{},single_hop
Marc Benioff,False,80b795e73c99d134538cc137ee85a377d1a2fba7fe3c152e3462ebfcc62a6136,2.1289627500227652,4923,258,0.00465975,0.00465975,4000,1.0,factconsolidation_sh_262k_no13,0.00465975,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.210702874988783,{},single_hop
Boeing,False,231fdaf3f71b86910bdff125193acb791798dea24233b482ddac3dc5545635be,2.0869862499530427,4933,192,0.00441975,0.00441975,4000,1.0,factconsolidation_sh_262k_no3,0.00441975,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.3841827080468647,{},single_hop
United Kingdom,False,c73ec9b81d177264e45bb903fcc0c8da2b44704158940958c0e0ee0ccc5977c0,2.59107258397853,4949,248,0.00464175,0.00464175,4000,1.0,factconsolidation_sh_262k_no12,0.00464175,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.6218500419636257,{},single_hop
Israel,False,9de2b7765d36beef647a33272ee4a4c9794ff459af6fc072d426fe2a79db2c6e,2.666259291989263,4898,308,0.0048285,0.0048285,4000,1.0,factconsolidation_sh_262k_no2,0.0048285,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,2.696607457997743,{},single_hop
William Waynflete,False,a5993ff44bee16863c39f52fefbe9c5261f0de483b77d137138cdac9b8745190,2.6870509160216898,4927,311,0.0048615,0.0048615,4000,0.0,factconsolidation_sh_262k_no8,0.0048615,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,2.6989162919926457,{},single_hop
Federal University of Rio de Janeiro,False,8f455705e1abe82354071f5f781ac3aedada630a835afce7d4773bb410ac31ae,2.955834207998123,4947,334,0.00496275,0.00496275,4000,1.0,factconsolidation_sh_262k_no0,0.00496275,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.017892125004437,{},single_hop
World Wide Web Consortium,False,6a029d3c0ec8f19bd5b74c02e68420bb6407340bb53a79fc21c2ac6de8d62986,2.950510833004955,4857,374,0.00504525,0.00504525,4000,0.0,factconsolidation_sh_262k_no9,0.00504525,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,3.126021249976475,{},single_hop
