answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
June 1982,False,90ed6b9b1ec94a7fb8037f60d798e4a596ef237a01ad6a15307c8e025282f322,2.808483958011493,4758,336,0.0048285,0.0048285,4000,1.0,2hop__13548_13529,0.0048285,0,,[],0,f1,gemini-3.6-flash,1.0,2.8560917919967324,{},2hop
5b56be54717d03f5b51c1f0f48258,False,2f99d0b85f81760e52e66348e57faf322efd53286aa3de71144bb7c495fd9e00,3.9967148329596967,4465,764,0.00621375,0.00621375,4000,0.0,4hop2__71753_648517_70784_79935,0.00621375,0,,[],0,f1,gemini-3.6-flash,0.0,4.0464622500003316,{},4hop2
Christian Reconquista of the peninsula,False,e48af4e2db62d79ea81e3b14a1637c426cfdd0f91cceaee0535702142042cafa,4.092868458013982,4524,740,0.006168,0.006168,4000,0.0,4hop3__754156_88460_30152_20999,0.006168,0,,[],0,f1,gemini-3.6-flash,0.0,4.164810415997636,{},4hop3
Saint Joseph,False,1907a4010cc4bd00b37f60c9129e19279490586a84d20151a127fd999d15a09b,4.333231458032969,4627,738,0.00623775,0.00623775,4000,0.0,2hop__199513_801817,0.00623775,0,,[],0,f1,gemini-3.6-flash,0.0,4.3625275830272585,{},2hop
Matagorda Bay,False,5df0e87894ebd69611dfd98ff0a90f50bfa81d14ccefbe7e4b2682ca1e29e450,4.3759884589817375,4546,738,0.006177,0.006177,4000,0.0,4hop1__94201_642284_131926_89261,0.006177,0,,[],0,f1,gemini-3.6-flash,0.0,4.3930979580036364,{},4hop1
The supplied evidence does not contain information about the death year of the governor of that city.,False,faf6d5ef74fd852c5d5a2ae06c7253d078a9a8403511a146d87ebb2a237fe56b,4.320937042008154,4654,752,0.0063105,0.0063105,4000,0.0,3hop1__136129_87694_124169,0.0063105,0,,[],0,f1,gemini-3.6-flash,0.0,4.456253290991299,{},3hop1
"-Prussian War
- passage_dcb09fa93961323eeeff0704da0a5",False,dee4bb8b2a285859e43161746ec1d4bc3bc1e4daca0cd40fdc2301b5b8af7ca5,4.488219290971756,4646,764,0.0063495,0.0063495,4000,0.0,3hop1__305282_282081_73772,0.0063495,0,,[],0,f1,gemini-3.6-flash,0.0,4.516468707995955,{},3hop1
Mauro Scocco's birth date is not provided in the supplied evidence.,False,a57669408fc2c996450b26b0a3ed66c20cbc80ecd6d0c11844823b58a4c9a779,4.8135313329985365,4542,752,0.0062265,0.0062265,4000,0.0,2hop__655505_110949,0.0062265,0,,[],0,f1,gemini-3.6-flash,0.0,4.934678082994651,{},2hop
Adelphia Communications Corporation,False,5c7eee1c0f4bd0d7f51389ab2251148154d2b7003c69102f2fb94524664a8421,5.209393708966672,4698,738,0.006291,0.006291,4000,0.0,2hop__354635_174222,0.006291,0,,[],0,f1,gemini-3.6-flash,0.0,5.225288000016008,{},2hop
June,False,ea030183d2bb87e8b42fbecddc9fb3bfa64c63287ba43db36739c5ace8774fb7,5.225708583020605,4573,717,0.0061185,0.0061185,4000,0.0,3hop1__9285_5188_23307,0.0061185,0,,[],0,f1,gemini-3.6-flash,0.0,5.237531709019095,{},3hop1
