accuracy,accuracy_answered,answer_cached_questions,answer_cost_per_correct_usd,answer_cost_usd,answer_p50_seconds,answer_p95_seconds,answer_tokens_in,answer_tokens_out,answered,binary_scored,cohort,config_sha256,context_budget_tokens,correct,cost_per_correct_basis,dataset,evaluation_cost_usd,exact_match_accuracy,f1_mean,incremental_answer_usd_recorded,incremental_api_usd_recorded,index_llm_usd,index_seconds,index_storage_bytes,indexed_groups,judge,logical_answer_cost_usd,mean_context_tokens,mean_score,mean_score_denominator,questions,reader,requested_questions,retrieval_gold_questions,retrieval_incomplete_evidence_excluded,retrieval_metrics,retrieval_p50_seconds,retrieval_p95_seconds,retrieved,scope,score_label,score_metric,scored,serving_p50_seconds,serving_p95_seconds,source_corpus_bytes,source_groups,source_tokens,source_tokens_complete,status,type,unanswered,unscored,variant,verified_correct_fraction_of_full
0.5,0.5,0,0.01079325,0.01079325,3.3203163540165406,4.10705317290558,9506.0,977.0,2,2,multi_hop,5c1f424f7a7c38fa909063a47c74138563295368002e05e360e7265bb35428c5,4000,1.0,binary_correct,factconsolidation_mh_6k,0.0,,,0.01079325,0.01079325,0.0,5.291719834029209,74514,1,gemini-2.5-flash-lite,0.01079325,4000.0,0.5,2,100,gemini-3.6-flash,2,0,0,{},0.040963041508803144,0.05210024135012645,2,smoke,substring exact match,"[""substring_exact_match""]",2,3.3612793955253437,4.13687901457306,33824,1,7082.0,True,incomplete,multi_hop,98,98,factconsolidation_mh_6k,0.01
,,0,,0,,,0,0,0,0,adversarial,f43587afc9538e5f0907d9c74af8b593d58335726728229920bb7fdbea977901,4000,,binary_correct,locomo,0,,,0,0,0.0,9.898837957996875,597832,1,gemini-2.5-flash-lite,0,,,0,446,gemini-3.6-flash,0,0,0,{},,,0,smoke,judge accuracy,"[""judge""]",0,,,2000166,10,15790.0,False,incomplete,adversarial,446,446,locomo10_all_categories,
,,0,,0,,,0,0,0,0,multi_hop,f43587afc9538e5f0907d9c74af8b593d58335726728229920bb7fdbea977901,4000,,binary_correct,locomo,0,,,0,0,0.0,9.898837957996875,597832,1,gemini-2.5-flash-lite,0,,,0,282,gemini-3.6-flash,0,0,0,{},,,0,smoke,judge accuracy,"[""judge""]",0,,,2000166,10,15790.0,False,incomplete,multi_hop,282,282,locomo10_all_categories,
,,0,,0,,,0,0,0,0,open_domain,f43587afc9538e5f0907d9c74af8b593d58335726728229920bb7fdbea977901,4000,,binary_correct,locomo,0,,,0,0,0.0,9.898837957996875,597832,1,gemini-2.5-flash-lite,0,,,0,96,gemini-3.6-flash,0,0,0,{},,,0,smoke,judge accuracy,"[""judge""]",0,,,2000166,10,15790.0,False,incomplete,open_domain,96,96,locomo10_all_categories,
,,0,,0,,,0,0,0,0,single_hop,f43587afc9538e5f0907d9c74af8b593d58335726728229920bb7fdbea977901,4000,,binary_correct,locomo,0,,,0,0,0.0,9.898837957996875,597832,1,gemini-2.5-flash-lite,0,,,0,841,gemini-3.6-flash,0,0,0,{},,,0,smoke,judge accuracy,"[""judge""]",0,,,2000166,10,15790.0,False,incomplete,single_hop,841,841,locomo10_all_categories,
1.0,1.0,0,0.004627875,0.00925575,3.241223208489828,3.4918822458188514,9521.0,564.0,2,2,temporal,f43587afc9538e5f0907d9c74af8b593d58335726728229920bb7fdbea977901,4000,2.0,binary_correct,locomo,2.1700000000000002e-05,,,0.00925575,0.00927745,0.0,9.898837957996875,597832,1,gemini-2.5-flash-lite,0.00925575,3994.5,1.0,2,321,gemini-3.6-flash,2,2,0,"{""all_evidence_at_budget"": 0.5, ""evidence_recall_at_budget"": 0.5, ""recall_at_10"": 0.5, ""recall_at_100"": 0.5, ""recall_at_5"": 0.5}",0.07135491649387404,0.11657646631938405,2,smoke,judge accuracy,"[""judge""]",2,3.312578124983702,3.6084587121382357,2000166,10,15790.0,False,incomplete,temporal,319,319,locomo10_all_categories,0.006230529595015576
0.0,0.0,0,,0.00609225,6.994519625033718,6.994519625033718,4448.0,735.0,1,1,anti_stereotypical_pref,6f6c869def79b51e13d8e0aea6187c9840aac6e0cee80f41e45ee47057fd9aed,4000,0.0,binary_correct,personamem_v2_32k,0.0,,,0.00609225,0.00609225,0.0,9.02612199995201,429578,1,gemini-2.5-flash-lite,0.00609225,4000.0,0.0,1,855,gemini-3.6-flash,1,0,0,{},0.023727916995994747,0.023727916995994747,1,smoke,MCQ accuracy,"[""mcq""]",1,7.018247542029712,7.018247542029712,37566904,200,33728.0,False,incomplete,anti_stereotypical_pref,854,854,text_benchmark_32k_mcq,0.0
,,0,,0,,,0,0,0,0,ask_to_forget,6f6c869def79b51e13d8e0aea6187c9840aac6e0cee80f41e45ee47057fd9aed,4000,,binary_correct,personamem_v2_32k,0,,,0,0,0.0,9.02612199995201,429578,1,gemini-2.5-flash-lite,0,,,0,1048,gemini-3.6-flash,0,0,0,{},,,0,smoke,MCQ accuracy,"[""mcq""]",0,,,37566904,200,33728.0,False,incomplete,ask_to_forget,1048,1048,text_benchmark_32k_mcq,
,,0,,0,,,0,0,0,0,health_and_medical_conditions,6f6c869def79b51e13d8e0aea6187c9840aac6e0cee80f41e45ee47057fd9aed,4000,,binary_correct,personamem_v2_32k,0,,,0,0,0.0,9.02612199995201,429578,1,gemini-2.5-flash-lite,0,,,0,568,gemini-3.6-flash,0,0,0,{},,,0,smoke,MCQ accuracy,"[""mcq""]",0,,,37566904,200,33728.0,False,incomplete,health_and_medical_conditions,568,568,text_benchmark_32k_mcq,
,,0,,0,,,0,0,0,0,neutral_preferences,6f6c869def79b51e13d8e0aea6187c9840aac6e0cee80f41e45ee47057fd9aed,4000,,binary_correct,personamem_v2_32k,0,,,0,0,0.0,9.02612199995201,429578,1,gemini-2.5-flash-lite,0,,,0,858,gemini-3.6-flash,0,0,0,{},,,0,smoke,MCQ accuracy,"[""mcq""]",0,,,37566904,200,33728.0,False,incomplete,neutral_preferences,858,858,text_benchmark_32k_mcq,
