answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
"Based on the provided evidence, the organization is **OpenAI**.",False,5e4bf3f024660c80115dcb150005ff74ce14613c0cbae0a59cad4e2f51d312ae,1.782267333008349,4017,193,0.0037365,0.0037494,4000,1.0,mhr_q0008,0.0037365,1.29e-05,gemini-2.5-flash-lite,"[""8a5a57f2e9210e65caf952ec7562d1b4e7152cb137a1aa317e6a0fb95e1f471f""]",1.29e-05,judge,gemini-3.6-flash,1.0,2.3927375419880264,{},inference_query
Sam Bankman-Fried,False,95b7dc16f2874b4834f4b109af04b8d1ef39b22d3ded082cc19367b03c64f1e5,1.8554942079936154,4079,169,0.003693,0.0037039,4000,1.0,mhr_q0000,0.003693,1.09e-05,gemini-2.5-flash-lite,"[""6729c6b5971cfd95279423fa5cc9d27810783992cc80c9df734f0998861411bd""]",1.09e-05,judge,gemini-3.6-flash,1.0,2.5716488750185817,{},inference_query
Google,False,417221a273b0e5c23a2c18bf4f0afe34d4ded8aa03d6b75c6f90458f5c21c767,2.633397249970585,4241,328,0.00441075,0.00442085,4000,1.0,mhr_q0009,0.00441075,1.0100000000000002e-05,gemini-2.5-flash-lite,"[""0264a00e08d118b0721b687e96e342c1f9907cc741c80646ca032818979045f3""]",1.0100000000000002e-05,judge,gemini-3.6-flash,1.0,3.2391498329816386,{},inference_query
Insufficient information,False,beabbfff1bc9a0089c0ac7942f51712b7f9356ce341f1b952b6e2899a333a2ee,2.822829417011235,4237,376,0.00458775,0.00460015,4000,1.0,mhr_q0010,0.00458775,1.24e-05,gemini-2.5-flash-lite,"[""b83c88fc44aea7a4d1ae0e4a66ff7245703eb14ee5f53d01934c612a133154d6""]",1.24e-05,judge,gemini-3.6-flash,1.0,3.4927642089896835,{},null_query
"Based on the provided evidence, the figure is **Sam Altman**.",False,8ac54fc43e4bfb9a7418ab6f73ea1de8549b1096a5648f123378ccf631c028b9,3.4068460420239717,4095,378,0.00448875,0.004500649999999999,4000,1.0,mhr_q0002,0.00448875,1.19e-05,gemini-2.5-flash-lite,"[""39a13c3c86f6cbdfb0b85aa78983b2c2f7d98ff2c2a799d37c3942fd43a21cbd""]",1.19e-05,judge,gemini-3.6-flash,1.0,4.050913999963086,{},inference_query
Sam Bankman-Fried,False,8ce83318aec44f1a99f67bd30b5a04a089460a72fa14fc14a59166479410179f,3.4568457910208963,4067,452,0.00474525,0.00475575,3981,1.0,mhr_q0005,0.00474525,1.0500000000000001e-05,gemini-2.5-flash-lite,"[""647cf3abfa7277d5e0869e3a2bf2f1fb82a72116201e0a403287a8ea4b766f24""]",1.0500000000000001e-05,judge,gemini-3.6-flash,1.0,4.112897375016473,{},inference_query
Insufficient information,False,3dedc934b7dd94ed8a3fd32f0f8c26f33e502b32890a8a112d80c3e6eff4bb23,3.4278318749857135,4176,571,0.00527325,0.00528595,4000,0.0,mhr_q0012,0.00527325,1.27e-05,gemini-2.5-flash-lite,"[""3e2b34ec316e7cea72c04e79ccb046af9f4441c787b0cb38da8651367e8664f4""]",1.27e-05,judge,gemini-3.6-flash,0.0,4.1499480829807,{},temporal_query
Donald Trump,False,96b8d6b7875ca5b590997f588fcbb79d3e31540464414772d363fab45a691b95,4.003172416007146,4312,478,0.0050265,0.0050392,4000,1.0,mhr_q0001,0.0050265,1.27e-05,gemini-2.5-flash-lite,"[""028cfff151d186dab507f2600c58f6c870ac43a3a8704e9decc1b640b8983ec3""]",1.27e-05,judge,gemini-3.6-flash,1.0,4.615729457989801,{},inference_query
Insufficient information,False,9a5aa4af531041f2fbc2b2eb5ba01983c4f45944380fe3b8a6962e9dbcba4ff9,4.112883374968078,4388,503,0.00517725,0.00518925,4000,0.0,mhr_q0011,0.00517725,1.2000000000000002e-05,gemini-2.5-flash-lite,"[""54ab921eaffab40b78e436ce2b873986cf0d4b597ef1b5e51899532204bdc94c""]",1.2000000000000002e-05,judge,gemini-3.6-flash,0.0,4.755546125001274,{},comparison_query
Insufficient information,False,0d7538722687835428fb7562762b3feaf034128be52bd6d9d0c8b1882360b9eb,4.245407500013243,4229,605,0.0054405,0.0054528,3994,1.0,mhr_q0013,0.0054405,1.23e-05,gemini-2.5-flash-lite,"[""8a681230600f953f33cca87a8f6c47e816fbe5b3ae2c3bd443e88a1c51520788""]",1.23e-05,judge,gemini-3.6-flash,1.0,4.939535667013843,{},null_query
"Yes. The articles indicate different monetization strategies:

* **Twitch** monetizes its platform through subscription revenue-sharing splits with content creators (e.g., 50/50 or 70/30 splits), advertising programs, direct viewer support (gifted subs, cheering), and sponsored brand partnerships.
* **Beeper Mini** monetizes by directly charging individual app users a flat monthly subscription fee ($1.99/month with a seven-day free trial) for access to its service.",False,518ea7065bdbfed486fdbaf265bf9ad54665e5c9f2d70d1a9cbc629546867095,4.335651499975938,4143,645,0.005526,0.0055464,4000,1.0,mhr_q0006,0.005526,2.0399999999999998e-05,gemini-2.5-flash-lite,"[""9d603a0d324f513a78f532098cf4c5412e77c206749768457eaf74090489c94f""]",2.0399999999999998e-05,judge,gemini-3.6-flash,1.0,5.025292125006672,{},comparison_query
"Yes. The article covering Jordan Poyer attributes the Bills' defense being the best it can be to Poyer enabling his teammates through his versatility,",False,b20ff49c791009052a4a2c11ab71b2d445bc4359b6250ce7ba4d3e88c0e51cc6,4.270477083045989,4367,764,0.00614025,0.00615415,4000,1.0,mhr_q0007,0.00614025,1.39e-05,gemini-2.5-flash-lite,"[""aad072cdf68c0db43d973960ee066b0d190acfa1fda3bda873919d93200349ee""]",1.39e-05,judge,gemini-3.6-flash,1.0,5.054826542036608,{},comparison_query
"Based on the provided evidence:

* **The Epoch Times article** reports a significant increase in subscription revenue (growing from nearly $7 million",False,24328fc29d99f3893a1c2f4649e1dce944cc4841411559ba202bbf88ddcac5e1,4.67691629199544,4160,764,0.005985,0.0059971,4000,0.0,mhr_q0003,0.005985,1.2100000000000001e-05,gemini-2.5-flash-lite,"[""913a3f15d1abedcb2523b1fe5459296c2362bd8f9c5bd467870b3fa07d4a7232""]",1.2100000000000001e-05,judge,gemini-3.6-flash,0.0,5.299076250055805,{},comparison_query
"Based on the provided evidence, the online betting platform is **Caesars Sportsbook**.",False,38761990e22fc21669c0ccb5513bd28a5d72ab56c3cce598b8449dfa6f315cb4,5.158983125002123,4324,743,0.00602925,0.00604355,4000,1.0,mhr_q0004,0.00602925,1.43e-05,gemini-2.5-flash-lite,"[""da39b51386157299686037f3ad35b8c5faf1138c0c1e9d7c6aadaa79134cea2f""]",1.43e-05,judge,gemini-3.6-flash,1.0,5.862315833044704,{},inference_query
Insufficient information,False,a9d4234219d4102951f7ee38b02bd5732884b9e5dc52f6e3ae718b793007b5c3,5.340085915988311,4253,738,0.00595725,0.00596805,4000,0.0,mhr_q0014,0.00595725,1.08e-05,gemini-2.5-flash-lite,"[""f64bb7e968ef8e4c89d74ff4e7bb9af2de3b5454d4ef1b73e9318b1f34aa944d""]",1.08e-05,judge,gemini-3.6-flash,0.0,5.963023709016852,{},comparison_query
