answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
Baldwin Wallace University,False,5801f137816753b21e3a51c23c201cc2e8c8ab27a5b971944e6cec35d73a9dd9,3.0651936669601128,4703,451,0.0052185,0.0052185,4000,1.0,factconsolidation_mh_6k_no5,0.0052185,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.0886016250005923,{},multi_hop
Rodez,False,f4cc6831b038dfa3db3c1bb271807292cf1c16bae5b67861af1aa9c42834ef0c,3.1211586659774184,4715,340,0.00481125,0.00481125,4000,1.0,factconsolidation_mh_6k_no1,0.00481125,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.133715541975107,{},multi_hop
Catholic Church,False,82c176889c7b8d030465220ef378c848c4fb7263dc757849b7a3307289605f43,3.3997584589524195,4774,450,0.005268,0.005268,4000,0.0,factconsolidation_mh_6k_no10,0.005268,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,3.5249550829757936,{},multi_hop
rugby,False,b940535ed03f595b215713324f0b85d9952519ab5736742b6a5dd021ab1ff220,3.580608708958607,4745,659,0.00603,0.00603,4000,1.0,factconsolidation_mh_6k_no4,0.00603,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.692585540993605,{},multi_hop
Asia,False,88a3cc0deec737f1caf1f6fc3d3b78cdb500154ebd18169fde2c94421f1ba833,3.5999969170079567,4769,397,0.0050655,0.0050655,4000,0.0,factconsolidation_mh_6k_no8,0.0050655,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,3.6945318750222214,{},multi_hop
Asia,False,70b651cec96a2f06f4f3b730f0b1caac21e69e9bd9c3d8464a77912ed3056550,3.7057633750373498,4739,603,0.0058155,0.0058155,4000,0.0,factconsolidation_mh_6k_no7,0.0058155,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,3.7621411249856465,{},multi_hop
England,False,6e5d2271c0dbfb51cbbab5f937568dc3d2f0de6f1d8f29843d760995a0d1043b,4.105356124986429,4791,636,0.00597825,0.00597825,4000,0.0,factconsolidation_mh_6k_no2,0.00597825,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.1926186659839,{},multi_hop
Duluth,False,b532d1b0425d8b3b4a95526bed20cdfef656ed9a2eab2df8e44c878433aaade2,4.324023708002642,4783,738,0.00635475,0.00635475,4000,1.0,factconsolidation_mh_6k_no12,0.00635475,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,4.338342041999567,{},multi_hop
United Kingdom,False,5ae0dce2cac8fa93d741f36dedad66be529a7dc7ae195f97e61649c8964c8df0,4.223564708023332,4791,737,0.006357,0.006357,4000,0.0,factconsolidation_mh_6k_no0,0.006357,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.403270667011384,{},multi_hop
"Washington, D.C.",False,2eed9ad0a112d4ae721dcec12388a7608ec6f6d27a32d73217716bb99e224089,4.410817167023197,4769,739,0.006348,0.006348,4000,0.0,factconsolidation_mh_6k_no15,0.006348,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,4.470579500019085,{},multi_hop
Emmerson Mnangagwa,False,9636288fed76ab3a8afaca66baff8802c92eefbdc7d022a252331a9f4820d118,4.836789374996442,4764,679,0.00611925,0.00611925,4000,1.0,factconsolidation_mh_6k_no14,0.00611925,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,4.982728666975163,{},multi_hop
Russellville,False,fb27b000b3fc51191ccc9900b0eb2ce5bb9bb37ed887056e45a1c0a8d39b6fe5,5.369994957989547,4826,736,0.0063795,0.0063795,4000,1.0,factconsolidation_mh_6k_no3,0.0063795,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,5.495999625010882,{},multi_hop
United Methodist Church,False,c1cae7cd8fe7ec55234bb04b3635b8959394e7f45edc51ba2b7dbb4d587fab08,5.519176542002242,4712,742,0.0063165,0.0063165,4000,0.0,factconsolidation_mh_6k_no13,0.0063165,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,5.544732916983776,{},multi_hop
Zoroastrianism,False,c238bf98e33f539337d9b4ff90b232b235d859be7bb6d5e866efd83203fc62ab,5.644147499988321,4831,732,0.00636825,0.00636825,4000,1.0,factconsolidation_mh_6k_no11,0.00636825,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,5.679890041006729,{},multi_hop
France,False,2490b352dedb78d178c818078180f31966de52ea80d1006296866dc556216b4d,5.644303500012029,4793,738,0.00636225,0.00636225,4000,1.0,factconsolidation_mh_6k_no6,0.00636225,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,5.789789458038285,{},multi_hop
". Christ.""
Wait! Let's check all mentions of Catholic Church, Methodism, John Walsh, Jesus Christ, Joseph Goebb",False,e27e91dd4c7bdadfd724905530e7163dbde87699166921df31e465262dd9a6ee,6.211612540995702,4740,764,0.00642,0.00642,4000,0.0,factconsolidation_mh_6k_no9,0.00642,0,,[],0,substring_exact_match,gemini-3.6-flash,0.0,6.365083541953936,{},multi_hop
Peter Diamandis,False,7d248e973621147cc9b372d1676e8c9980d0f02e9335e5dccece0c49f2de7370,1.709066334005911,4700,176,0.004185,0.004185,4000,1.0,factconsolidation_mh_6k_no26,0.004185,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,1.731350417016074,{},multi_hop
Soviet Union,False,d3413088fb0050525a8fb9285e1c16faf9c00c7288732f4d5c18d3b286e6cef3,2.9948734999634326,4794,357,0.00493425,0.00493425,4000,1.0,factconsolidation_mh_6k_no16,0.00493425,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.0068644999992102,{},multi_hop
Prague,False,06b1968b8d6968d3ce4dc4f4ad39abdc935541ee87667f7488a3c19c33f16924,3.0339560420252383,4831,340,0.00489825,0.00489825,4000,1.0,factconsolidation_mh_6k_no28,0.00489825,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.076312625024002,{},multi_hop
George Alexander Kohut,False,3e14c9f8f224ed163a0024958559a0ca7a4877508aebc8ba831da9ff9ad1b842,3.0090074169565924,4805,443,0.005265,0.005265,4000,1.0,factconsolidation_mh_6k_no22,0.005265,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.1433468750328757,{},multi_hop
Adel al-Jubeir,False,5fe8f651cb0d380c0494b35643c554edba7d26c66efc361ffb1be12fa5d4dc7b,3.164229374960996,4751,432,0.00518325,0.00518325,4000,1.0,factconsolidation_mh_6k_no25,0.00518325,0,,[],0,substring_exact_match,gemini-3.6-flash,1.0,3.39164329203777,{},multi_hop
