answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
C,False,d25829e87ea9afbba83685b838db7daf148ec267bd6ea44b3e73b18a4ba1c72b,4.009619458985981,4705,417,0.0050925,0.0050925,4000,0.0,personamem_v2_128k:q00003,0.0050925,0,,[],0,mcq,gemini-3.6-flash,0.0,4.2436068750103,{},anti_stereotypical_pref
C,False,6a792e53da61aca78889d78c085f7e889d9d22f0c9dbcbf352b412eebd8ed7ee,4.338128249975853,4431,545,0.005367,0.005367,4000,0.0,personamem_v2_128k:q00008,0.005367,0,,[],0,mcq,gemini-3.6-flash,0.0,4.352680124982726,{},stereotypical_pref
B,False,605cc9e6b1f54cd22a0db1208fce46064f30ca57cfc1bf1b7b3981765bf55aba,4.474443749990314,4778,477,0.00537225,0.00537225,4000,0.0,personamem_v2_128k:q00010,0.00537225,0,,[],0,mcq,gemini-3.6-flash,0.0,4.510831916006282,{},anti_stereotypical_pref
A,False,a244515d479548701080c5409598fd4b5db11035de6e0e3583bad5fea0e61d21,4.42099962499924,4700,557,0.00561375,0.00561375,4000,1.0,personamem_v2_128k:q00013,0.00561375,0,,[],0,mcq,gemini-3.6-flash,1.0,4.5613600829965435,{},anti_stereotypical_pref
B,False,569c1a0e9c35901c8e4e0481f0165a0b3746b37b793b167cd8dc0ed18988c3fe,4.831685791024938,4586,737,0.00620325,0.00620325,4000,0.0,personamem_v2_128k:q00001,0.00620325,0,,[],0,mcq,gemini-3.6-flash,0.0,4.911611500021536,{},therapy_background
A,False,6c3169f520426cdc9bbf98d50f2e46f17054fa56e9a2de15da141983a3cd20a3,5.2933244169689715,4587,735,0.0061965,0.0061965,4000,1.0,personamem_v2_128k:q00002,0.0061965,0,,[],0,mcq,gemini-3.6-flash,1.0,5.352769165998325,{},therapy_background
C,False,e67fd54bbd1179fe5e9e42527171bc7d09755fea31039398592c076949479455,5.189056084025651,4505,602,0.00563625,0.00563625,4000,1.0,personamem_v2_128k:q00009,0.00563625,0,,[],0,mcq,gemini-3.6-flash,1.0,5.362434208043851,{},ask_to_forget
A,False,8d74800f0da22b31fa204ea0c5336f70471321e5889688a31ab7f94a13637a88,5.491672832984477,4489,614,0.00566925,0.00566925,4000,1.0,personamem_v2_128k:q00012,0.00566925,0,,[],0,mcq,gemini-3.6-flash,1.0,5.513261416985188,{},therapy_background
C,False,6bd06b029330a9d8155721c07f170ecc74af82e3c4daff81d03ac3becc07d406,5.521547333977651,4504,735,0.00613425,0.00613425,4000,0.0,personamem_v2_128k:q00000,0.00613425,0,,[],0,mcq,gemini-3.6-flash,0.0,5.534214832994621,{},anti_stereotypical_pref
C,False,84363f133c415b0c28ceed372a7d2a7c913eef348a73e05d3366d5e577b6d594,5.225093041954096,4602,735,0.00620775,0.00620775,4000,0.0,personamem_v2_128k:q00005,0.00620775,0,,[],0,mcq,gemini-3.6-flash,0.0,5.619605624990072,{},health_and_medical_conditions
C,False,61a1957b010d8a3e7464b4f4a8f5d2a5618769d596564988093612bcccfda4be,5.630491334013641,4494,636,0.0057555,0.0057555,4000,1.0,personamem_v2_128k:q00006,0.0057555,0,,[],0,mcq,gemini-3.6-flash,1.0,5.815131166949868,{},health_and_medical_conditions
B,False,3f79ce4f342092d25ad520c02cd4bdb88f63ef74184857fa92671d5f0dd93268,5.672208458010573,4537,736,0.00616275,0.00616275,4000,0.0,personamem_v2_128k:q00014,0.00616275,0,,[],0,mcq,gemini-3.6-flash,0.0,5.956493000034243,{},anti_stereotypical_pref
"m00656: personal experience (loss/etc?)
m00678: ongoing anxiety in unpredictable work",False,92372365dec3183bd9bcd44488f12c2bfdb87f5a56afd9788ccfe14806db727d,6.286421791999601,4463,764,0.00621225,0.00621225,4000,0.0,personamem_v2_128k:q00011,0.00621225,0,,[],0,mcq,gemini-3.6-flash,0.0,6.332880791975185,{},therapy_background
D,False,006df9d0749c177e1718452d56f9a3729fc6dd6ccf3cf8ecff1f02de4c1b40fe,6.329282250022516,4703,733,0.006276,0.006276,4000,0.0,personamem_v2_128k:q00004,0.006276,0,,[],0,mcq,gemini-3.6-flash,0.0,6.360593457997311,{},neutral_preferences
A,False,d62cde068994101831ad04c35ada72807394208acb5570312500af11a0f441bf,6.3897022499586456,4369,736,0.00603675,0.00603675,4000,1.0,personamem_v2_128k:q00007,0.00603675,0,,[],0,mcq,gemini-3.6-flash,1.0,6.47280479199253,{},neutral_preferences
Part of it might be that I’m not bumping into the same folks I used to see at community events or along the river trail —,False,215b3daeef3c8ee919909b6e6af4857cea6de5825598fbe1372e378f8fbc1c2d,6.433598208008334,4710,764,0.0063975,0.0063975,4000,0.0,personamem_v2_128k:q00015,0.0063975,0,,[],0,mcq,gemini-3.6-flash,0.0,6.543701666989364,{},therapy_background
A,False,0c5053c829c0ec629f0282d4e37f1ac3ee069990570e5092592038fcc1996ca1,3.658397666993551,4567,402,0.00493275,0.00493275,4000,0.0,personamem_v2_128k:q00025,0.00493275,0,,[],0,mcq,gemini-3.6-flash,0.0,3.8066982910386287,{},health_and_medical_conditions
D,False,68091a71b8b12ebeec60af16cb3b04c05f597155e2df5f38fd1391a08111ba4a,4.000755291956011,4629,545,0.0055155,0.0055155,4000,0.0,personamem_v2_128k:q00017,0.0055155,0,,[],0,mcq,gemini-3.6-flash,0.0,4.235040666011628,{},stereotypical_pref
"address as <address> when sharing details publicly""? But the prompt asks about ""inviting extended family and friends"" (private invites), not sharing publicly!",False,af18a8bb5eee09ff3bc34e3d39647d15632b1902338d0136c5a3dd5287af90c9,4.453016375016887,4635,764,0.00634125,0.00634125,4000,0.0,personamem_v2_128k:q00028,0.00634125,0,,[],0,mcq,gemini-3.6-flash,0.0,4.625328583002556,{},sensitive_info
A,False,1e43287986479653fe9e2d4835c21b4f9b3230d38a7fa7a4a47dac6bcf779732,4.731535917031579,4467,733,0.006099,0.006099,4000,0.0,personamem_v2_128k:q00019,0.006099,0,,[],0,mcq,gemini-3.6-flash,0.0,4.748035833006725,{},stereotypical_pref
C,False,333b2941e420eb0ad00f0334a61cdd93e4afea0c40308ca94a7c57387336bd58,4.640204624971375,4502,665,0.00587025,0.00587025,3990,0.0,personamem_v2_128k:q00020,0.00587025,0,,[],0,mcq,gemini-3.6-flash,0.0,4.779485916951671,{},anti_stereotypical_pref
C,False,9b8c19bd57ab46d32361f522ce1fdbfb5e9fea7895090e7d3e132566dc2485bb,4.825665417010896,4561,733,0.0061695,0.0061695,4000,1.0,personamem_v2_128k:q00022,0.0061695,0,,[],0,mcq,gemini-3.6-flash,1.0,4.907136207970325,{},neutral_preferences
D,False,94618cc6741837d7be890a136660082b276ec8fb865910d33bcf32ac865f485d,4.693074332957622,4359,690,0.00585675,0.00585675,4000,1.0,personamem_v2_128k:q00016,0.00585675,0,,[],0,mcq,gemini-3.6-flash,1.0,4.921821957977954,{},health_and_medical_conditions
C,False,412cf3e1498463a6615ebf5bf1b384c777c17133be03d29b769d6e3c380ad513,5.073562208970543,4523,739,0.0061635,0.0061635,4000,0.0,personamem_v2_128k:q00018,0.0061635,0,,[],0,mcq,gemini-3.6-flash,0.0,5.096543334017042,{},stereotypical_pref
A,False,434a47b976851e7199c7e8a98f11468f17aa69a8cdf62827abba1a42b41dee95,5.112592166988179,4488,708,0.006021,0.006021,4000,0.0,personamem_v2_128k:q00031,0.006021,0,,[],0,mcq,gemini-3.6-flash,0.0,5.151319666998461,{},anti_stereotypical_pref
C,False,9f9a86df80c20607d87645b531ea2b6a68f5705198be534cb2c7e2088f884a55,5.309650082956068,4486,736,0.0061245,0.0061245,4000,1.0,personamem_v2_128k:q00029,0.0061245,0,,[],0,mcq,gemini-3.6-flash,1.0,5.356759832997341,{},ask_to_forget
A,False,7256cb11d3e5e1d0d41a91f10116fb5d49797e30f3f8deb8416e93f38ec55a9a,5.462789958983194,4380,733,0.00603375,0.00603375,4000,0.0,personamem_v2_128k:q00021,0.00603375,0,,[],0,mcq,gemini-3.6-flash,0.0,5.498570583004039,{},anti_stereotypical_pref
A,False,53e3e40d7406448149798a7efd496a15345378aff741d74669a835d5f459349f,5.401088625018019,4506,736,0.0061395,0.0061395,4000,0.0,personamem_v2_128k:q00023,0.0061395,0,,[],0,mcq,gemini-3.6-flash,0.0,5.509635999973398,{},neutral_preferences
C,False,e9c53fdbeaec2e51de8be035b1f764e06587df08c5012866ae42e0dd7796a793,5.49956204200862,4657,736,0.00625275,0.00625275,4000,0.0,personamem_v2_128k:q00030,0.00625275,0,,[],0,mcq,gemini-3.6-flash,0.0,5.60073729098076,{},anti_stereotypical_pref
A,False,d70dd987b625b9b3348d6bfb5386fcafc48b5e5588a9e760f7dc6e5861408733,5.515816125029232,4606,737,0.00621825,0.00621825,4000,0.0,personamem_v2_128k:q00027,0.00621825,0,,[],0,mcq,gemini-3.6-flash,0.0,5.68151324999053,{},sensitive_info
C,False,5a71b13a9f39c1b836ab5dfa787711d6855e16ca454fc4b6519b4520c2fa360a,5.691535416000988,4517,735,0.006144,0.006144,4000,0.0,personamem_v2_128k:q00024,0.006144,0,,[],0,mcq,gemini-3.6-flash,0.0,5.7627870829892345,{},neutral_preferences
B,False,97d123080d2a7a87279c65d2b163d0f2d204ddb55ebdac3ce1e2cb1a66c165cd,5.716561833978631,4512,579,0.00555525,0.00555525,4000,0.0,personamem_v2_128k:q00026,0.00555525,0,,[],0,mcq,gemini-3.6-flash,0.0,5.770584875019267,{},anti_stereotypical_pref
D,False,523cf9ce5aed1a36c39d72bc8f441745068b63273ea9f2fd24d5ac17769fdcd1,2.664598708972335,4666,419,0.00507075,0.00507075,4000,1.0,personamem_v2_128k:q00035,0.00507075,0,,[],0,mcq,gemini-3.6-flash,1.0,3.0676739580230787,{},ask_to_forget
C,False,c357a9f855f4a71f28060a6c9413128e8fed6b86355ec6e0425e4d90a29982ac,3.2478983330074698,4482,537,0.00537525,0.00537525,4000,1.0,personamem_v2_128k:q00032,0.00537525,0,,[],0,mcq,gemini-3.6-flash,1.0,3.2831987499957904,{},ask_to_forget
C,False,52a0c3980681f5107f33b24418d97e1bfa298b09c7f005dbed0d0a745e21adce,2.917338082974311,4412,513,0.00523275,0.00523275,4000,1.0,personamem_v2_128k:q00033,0.00523275,0,,[],0,mcq,gemini-3.6-flash,1.0,3.4221615829737857,{},ask_to_forget
D,False,3a36ca6954c0f0afb6f3e00edd56770d349eff346806fae260889e471743897c,4.141338750021532,4460,733,0.00609375,0.00609375,4000,0.0,personamem_v2_128k:q00034,0.00609375,0,,[],0,mcq,gemini-3.6-flash,0.0,4.194018916983623,{},ask_to_forget
C,False,f1973f4a9ed4671c37b0636289aebf776c0a72e40ec88b461ad83cb3de096b00,4.377073624986224,4436,590,0.0055395,0.0055395,4000,1.0,personamem_v2_128k:q00045,0.0055395,0,,[],0,mcq,gemini-3.6-flash,1.0,4.557823000010103,{},health_and_medical_conditions
"architectural design"" or ""eco-friendly, forward-thinking architecture""!
Wait! If it was NOT mentioned in the evidence, or",False,5982a23b1cd44c7801c6664c51fd76bdecaf85b6699a1e3116c38c6b0323c356,4.526163125003222,4555,764,0.00628125,0.00628125,4000,0.0,personamem_v2_128k:q00040,0.00628125,0,,[],0,mcq,gemini-3.6-flash,0.0,4.700698584027123,{},neutral_preferences
C,False,b46da4e56618c2a02baa9c739e993d03887e9c564502e2e71058f8612b1871fb,4.736125333001837,4421,741,0.0060945,0.0060945,4000,1.0,personamem_v2_128k:q00042,0.0060945,0,,[],0,mcq,gemini-3.6-flash,1.0,4.884422709001228,{},therapy_background
