answer,answer_cached,answer_key,answer_seconds,answer_tokens_in,answer_tokens_out,answer_usd,cash_usd,context_tokens,correct,id,incremental_answer_usd,incremental_judge_usd,judge,judge_keys,judge_usd,metric,reader,score,seconds,supplementary,type
No,False,dace2fb44b55438a5088087145929e2f93d7979d22ca57634a4afda31f646142,1.6145704999798909,4678,133,0.00400725,0.00400725,4000,1.0,462bb642099211ebbdb0ac1f6bf848b6,0.00400725,0,,[],0,f1,gemini-3.6-flash,1.0,1.6274724579998292,{},comparison
Andy Summers,False,4775356bdabfbe1a2c4d48599f3ba7c2a9704ea71fdfd2572a8af370db405ff0,2.1308669159770943,4775,202,0.00433875,0.00433875,4000,1.0,7f7046d308f711ebbdaaac1f6bf848b6,0.00433875,0,,[],0,f1,gemini-3.6-flash,1.0,2.2138880410348065,{},comparison
Delft,False,1424e003f675ea5e24605aa783d621e329483fd25c745bf48f1b0c0ea95d312d,2.2691225840244442,4546,252,0.0043545,0.0043545,4000,1.0,265daf200bdc11eba7f7acde48001122,0.0043545,0,,[],0,f1,gemini-3.6-flash,1.0,2.3678900829982013,{},compositional
Yes,False,3b84bc5b9a2fe73a0a92e006a17a46a4d5189304c4251bb02e3f197a22732a98,2.336034791020211,4593,266,0.00444225,0.00444225,4000,1.0,d6898f78089511ebbd75ac1f6bf848b6,0.00444225,0,,[],0,f1,gemini-3.6-flash,1.0,2.4053032920346595,{},comparison
20 March 851,False,9e89c61d683ae31c4268cf4c4166f62477880ea67ff9348b412c33fdd411f5f2,2.437791083997581,4477,225,0.0042015,0.0042015,3983,1.0,83bf3b5a0bd911eba7f7acde48001122,0.0042015,0,,[],0,f1,gemini-3.6-flash,1.0,2.4540760419913568,{},compositional
Mexico City,False,a70a9f0c8450bce86c7a97312ceb65f2fffa2c21dd1a360a9684897b3c713e13,2.4500859159743413,4395,262,0.00427875,0.00427875,4000,1.0,914b452c0bdc11eba7f7acde48001122,0.00427875,0,,[],0,f1,gemini-3.6-flash,1.0,2.4829372909734957,{},compositional
Phoolwari,False,29b4a8b027289e4588d8d8f2c5974366257edb876dea378fae2cd3e36bb730f1,2.4586030839709565,4480,267,0.00436125,0.00436125,4000,1.0,a80d84e7096d11ebbdb0ac1f6bf848b6,0.00436125,0,,[],0,f1,gemini-3.6-flash,1.0,2.575229790993035,{},comparison
Poland,False,36e0d63e3ecac5e94ecbe86ff7ad3d27d3d062f49b50b34a9eec09c2e4ec8d37,2.902377041988075,4673,374,0.00490725,0.00490725,4000,0.0,1c0dd3b00bdc11eba7f7acde48001122,0.00490725,0,,[],0,f1,gemini-3.6-flash,0.0,2.920102500007488,{},compositional
The Heart of Doreon,False,a996a596a369d1249e23e509ef7d1db70f5d3bbd1699d4e07306e43c99103394,3.533198999997694,4617,488,0.00529275,0.00529275,4000,1.0,6718770a087311ebbd66ac1f6bf848b6,0.00529275,0,,[],0,f1,gemini-3.6-flash,1.0,3.5642147909966297,{},bridge_comparison
Ailéan mac Ruaidhrí,False,6ded00635d5d0556f245305f532b6e17273e12836e9cd8ee2bccb97abdcd44b1,3.924699374998454,4534,521,0.00535425,0.00535425,4000,1.0,9fe6a6760baf11ebab90acde48001122,0.00535425,0,,[],0,f1,gemini-3.6-flash,1.0,3.9990529170027003,{},inference
Yes,False,9155e7df8312cd908c3b888239be2aabb3e0390923d198df67f8b8497b03ed31,3.933052584005054,4524,497,0.00525675,0.00525675,4000,1.0,551e024408a611ebbd7fac1f6bf848b6,0.00525675,0,,[],0,f1,gemini-3.6-flash,1.0,4.011167332995683,{},bridge_comparison
Irish,False,116b4853a4d135a2f681b44decd4d5216386f0a283cf8c76d49fa3c8f39869c8,3.9696083340095356,4587,736,0.00620025,0.00620025,4000,0.0,006d81bc0bde11eba7f7acde48001122,0.00620025,0,,[],0,f1,gemini-3.6-flash,0.0,4.019687041989528,{},compositional
Jamie Dundee,False,fb74fd7adadd828f66e7ae66a55771381d310ffef9ddb38530cbfece01016c12,4.236118250002619,4540,735,0.00616125,0.00616125,4000,0.0,f5e3b9ca0bdb11eba7f7acde48001122,0.00616125,0,,[],0,f1,gemini-3.6-flash,0.0,4.377083125000354,{},compositional
God's Gift to Women,False,1e1d1f9305f5e681b7fa17238335cb7bdf35a14604a9e72281f3d6bac5833d13,5.233588124974631,4598,741,0.00622725,0.00622725,4000,1.0,a1cdb240085811ebbd5bac1f6bf848b6,0.00622725,0,,[],0,f1,gemini-3.6-flash,1.0,5.258372582960874,{},bridge_comparison
American,False,fa53ad1d57498803eb6cdfb3f2460ea3c2af83913c46952a053bbbd69a215713,5.535016625013668,4592,741,0.00622275,0.00622275,3998,0.0,33f51d7e0bde11eba7f7acde48001122,0.00622275,0,,[],0,f1,gemini-3.6-flash,0.0,5.583833584038075,{},compositional
Trinidad,False,953dadd3353a05e250d3d74161e01214ca7673d1c3f856ed26d1b4511f29657c,5.72980616701534,4478,738,0.006126,0.006126,4000,0.0,2dc690ba0bdc11eba7f7acde48001122,0.006126,0,,[],0,f1,gemini-3.6-flash,0.0,5.740853917028289,{},compositional
Dying God,False,2ab073126d5fa1f6af34fb1d1d192489f52a949b1b3fe298863e99cef185d4c3,2.5355579170282,4691,262,0.00450075,0.00450075,4000,1.0,bdd526c4091811ebbdaeac1f6bf848b6,0.00450075,0,,[],0,f1,gemini-3.6-flash,1.0,2.5631160840275697,{},comparison
No,False,75976070947b8739973cb6859363e34639f2c643943ed5ed5d956522f59bcc97,3.160904499993194,4600,523,0.00541125,0.00541125,4000,1.0,84b691d8086a11ebbd5fac1f6bf848b6,0.00541125,0,,[],0,f1,gemini-3.6-flash,1.0,3.2891820420045406,{},bridge_comparison
Oxford,False,10dca9623c7a92bc8fad43c6a01473745e336b9eb333d601bde2d193948c4279,3.4273050840129144,4744,581,0.00573675,0.00573675,4000,1.0,e6e38bc40bdd11eba7f7acde48001122,0.00573675,0,,[],0,f1,gemini-3.6-flash,1.0,3.6443685000413097,{},compositional
Quebec,False,b651d1043d861ccb5df0416ef31baf0b5baa09020ceec6f797a653456d8b5cd1,3.619731042010244,4691,385,0.004962,0.004962,4000,0.0,2d8f3ebe0bda11eba7f7acde48001122,0.004962,0,,[],0,f1,gemini-3.6-flash,0.6666666666666666,3.666170582990162,{},compositional
German,False,605711d9f99efdf284cc5788c403c8656a002f3e784619ebc40668652d226320,3.844629791972693,4824,624,0.005958,0.005958,3990,0.0,3a3c2efe0bdc11eba7f7acde48001122,0.005958,0,,[],0,f1,gemini-3.6-flash,0.0,3.8915461659780703,{},compositional
Norodom Sutharot,False,1627b036073a3a0f2cca1aac2c6fa30e97935a0563b070ab923f098f1399f028,3.9911893749958836,4551,560,0.00551325,0.00551325,4000,1.0,435f65fa0baf11ebab90acde48001122,0.00551325,0,,[],0,f1,gemini-3.6-flash,1.0,4.000748666992877,{},inference
Detroit,False,8aeabf726e178724e40436e9406f41314b09eb63d5f04a4473297d48c495dc02,4.431435958016664,4530,735,0.00615375,0.00615375,4000,1.0,a1d9a65c0bd911eba7f7acde48001122,0.00615375,0,,[],0,f1,gemini-3.6-flash,1.0,4.4992704159813,{},compositional
